epoch,train_acc,val_acc,train_loss,timestamp
1,0.5425556858147714,0.4001874414245548,0.7141882011506442,2025-05-20 21:57:11
2,0.5678780773739742,0.633552014995314,0.6890580299195279,2025-05-20 21:57:11
3,0.5819460726846425,0.6082474226804123,0.6818003663409515,2025-05-20 21:57:11
4,0.5817116060961313,0.32989690721649484,0.6812419677048587,2025-05-20 21:57:11
5,0.598358733880422,0.32989690721649484,0.675295703531651,2025-05-20 21:57:11
6,0.588042203985932,0.6026241799437676,0.6770937565560644,2025-05-20 21:57:11
7,0.6014067995310668,0.633552014995314,0.6678689240516348,2025-05-20 21:57:11
8,0.6098475967174678,0.689784442361762,0.6637377328194036,2025-05-20 21:57:11
9,0.622274325908558,0.4564198687910028,0.6561558116018102,2025-05-20 21:57:11
10,0.6178194607268465,0.6701030927835051,0.6517463227113088,2025-05-20 21:57:11
11,0.6407971864009379,0.3626991565135895,0.6348668921752816,2025-05-20 21:57:11
12,0.6497069167643611,0.5238987816307404,0.6259062172991506,2025-05-20 21:57:11
13,0.6679953106682298,0.3964386129334583,0.6125941841343369,2025-05-20 21:57:11
14,0.6902696365767879,0.6701030927835051,0.5902345220694382,2025-05-20 21:57:11
15,0.7073856975381008,0.7169634489222118,0.5637461294172409,2025-05-20 21:57:11
16,0.7345838218053927,0.5332708528584817,0.5400994894991207,2025-05-20 21:57:11
17,0.7552168815943728,0.6888472352389878,0.5091336417510715,2025-05-20 21:57:11
18,0.7788980070339977,0.6532333645735707,0.47809259186076764,2025-05-20 21:57:11
19,0.7992966002344666,0.7731958762886598,0.45037349003754307,2025-05-20 21:57:11
20,0.8138335287221571,0.7328959700093721,0.4162296536151836,2025-05-20 21:57:11
21,0.8225087924970692,0.6701030927835051,0.404667139834679,2025-05-20 21:57:11
22,0.8377491207502931,0.7235238987816307,0.36302158214179764,2025-05-20 21:57:11
23,0.8567409144196952,0.7525773195876289,0.3284426031264473,2025-05-20 21:57:11
24,0.8668229777256741,0.6663542642924086,0.31674606294444435,2025-05-20 21:57:11
25,0.868464243845252,0.7375820056232427,0.30902095663636814,2025-05-20 21:57:11
26,0.8771395076201641,0.8144329896907216,0.29087122271625737,2025-05-20 21:57:11
27,0.8890973036342321,0.7122774133083412,0.26452818637092906,2025-05-20 21:57:11
28,0.8977725674091442,0.8022492970946579,0.2569423768711224,2025-05-20 21:57:11
29,0.9043376318874561,0.7703842549203374,0.2459626624060704,2025-05-20 21:57:11
30,0.9071512309495897,0.8200562324273665,0.24331483999720674,2025-05-20 21:57:11
31,0.912778429073857,0.8078725398313027,0.22459361167826902,2025-05-20 21:57:11
32,0.9198124267291911,0.7450796626054358,0.20854152297454603,2025-05-20 21:57:11
33,0.9186400937866354,0.8481724461105904,0.20149071023482062,2025-05-20 21:57:11
34,0.9256740914419695,0.85941893158388,0.196010357585181,2025-05-20 21:57:11
35,0.9334114888628371,0.851921274601687,0.1777093295942755,2025-05-20 21:57:11
36,0.9313012895662368,0.8200562324273665,0.17970917673174586,2025-05-20 21:57:11
37,0.9378663540445487,0.8687910028116214,0.16834527987303136,2025-05-20 21:57:11
38,0.9392731535756155,0.7647610121836926,0.16503905375184638,2025-05-20 21:57:11
39,0.936694021101993,0.8791002811621368,0.1703964231556721,2025-05-20 21:57:11
40,0.9432590855803048,0.8575445173383318,0.14861484485144696,2025-05-20 21:57:11
41,0.9395076201641266,0.8537956888472352,0.15767699454942447,2025-05-20 21:57:11
42,0.9514654161781946,0.8294283036551078,0.13344039782456188,2025-05-20 21:57:11
43,0.9472450175849941,0.8537956888472352,0.1402262897589959,2025-05-20 21:57:11
44,0.9484173505275498,0.8603561387066542,0.14366821158147147,2025-05-20 21:57:11
45,0.9587338804220399,0.8734770384254921,0.12295644251064639,2025-05-20 21:57:11
46,0.9577960140679953,0.8622305529522024,0.11164231663953499,2025-05-20 21:57:11
47,0.9507620164126612,0.8772258669165885,0.12954424709179316,2025-05-20 21:57:11
48,0.9519343493552169,0.8266166822867854,0.12698592038036843,2025-05-20 21:57:11
49,0.9622508792497069,0.8884723523898782,0.11356622732003753,2025-05-20 21:57:11
50,0.9519343493552169,0.8809746954076851,0.12256427999578891,2025-05-20 21:57:11
51,0.9599062133645956,0.8894095595126523,0.10019155406682623,2025-05-20 21:57:11
52,0.9662368112543962,0.8472352389878163,0.09833192264605384,2025-05-20 21:57:11
53,0.9662368112543962,0.8828491096532334,0.08828991559449206,2025-05-20 21:57:11
54,0.9664712778429074,0.8650421743205249,0.09402334889438882,2025-05-20 21:57:11
55,0.9706916764361079,0.8837863167760075,0.08581468344871862,2025-05-20 21:57:11
56,0.9652989449003517,0.8884723523898782,0.0978062270620789,2025-05-20 21:57:11
57,0.9735052754982415,0.872539831302718,0.07700039591110043,2025-05-20 21:57:11
58,0.9725674091441969,0.8903467666354264,0.07902794187253669,2025-05-20 21:57:11
59,0.9688159437280187,0.8669165885660731,0.0889834826986553,2025-05-20 21:57:11
60,0.9716295427901525,0.8537956888472352,0.08004308717363699,2025-05-20 21:57:11
61,0.9737397420867526,0.8922211808809747,0.07542833075283116,2025-05-20 21:57:11
62,0.9730363423212193,0.895032802249297,0.07344756591088428,2025-05-20 21:57:11
63,0.9725674091441969,0.895032802249297,0.07227398400728623,2025-05-20 21:57:11
64,0.9796014067995311,0.8987816307403936,0.05794364084709394,2025-05-20 21:57:11
65,0.9791324736225088,0.9006560449859419,0.06294678636104538,2025-05-20 21:57:11
66,0.9739742086752637,0.880037488284911,0.06850234653420523,2025-05-20 21:57:11
