epoch,train_acc,val_acc,train_loss,timestamp
1,0.5561547479484173,0.6701030927835051,0.7000548127438692,2025-05-20 22:47:50
2,0.5765533411488862,0.6672914714151827,0.6877750303414877,2025-05-20 22:47:50
3,0.5749120750293083,0.6701030927835051,0.6835795594065377,2025-05-20 22:47:50
4,0.5791324736225087,0.6701030927835051,0.6797102223174849,2025-05-20 22:47:50
5,0.5969519343493552,0.6701030927835051,0.6718644148178314,2025-05-20 22:47:50
6,0.5962485345838218,0.6701030927835051,0.6698131872696823,2025-05-20 22:47:50
7,0.6079718640093786,0.32989690721649484,0.6685387451996964,2025-05-20 22:47:50
8,0.6173505275498241,0.6701030927835051,0.6596264440691872,2025-05-20 22:47:50
9,0.6328253223915592,0.6701030927835051,0.652030526810371,2025-05-20 22:47:50
10,0.6314185228604924,0.6701030927835051,0.6471747451283959,2025-05-20 22:47:50
11,0.6450175849941383,0.6701030927835051,0.6327870040573877,2025-05-20 22:47:50
12,0.6600234466588512,0.43486410496719774,0.6202363633037953,2025-05-20 22:47:50
13,0.6658851113716295,0.6701030927835051,0.6156797031784772,2025-05-20 22:47:50
14,0.6996483001172333,0.6701030927835051,0.5819750268584334,2025-05-20 22:47:50
15,0.7177022274325908,0.6701030927835051,0.5649662724929803,2025-05-20 22:47:50
16,0.7338804220398594,0.32989690721649484,0.5537805560041457,2025-05-20 22:47:50
17,0.7446658851113717,0.6701030927835051,0.5272327254662353,2025-05-20 22:47:50
18,0.7674091441969519,0.32989690721649484,0.48800182722034524,2025-05-20 22:47:50
19,0.7875732708089097,0.60543580131209,0.47109228757660043,2025-05-20 22:47:50
20,0.8018757327080891,0.48266166822867856,0.4394244196151526,2025-05-20 22:47:50
21,0.8121922626025792,0.6166822867853796,0.42763446729058185,2025-05-20 22:47:50
22,0.8314185228604923,0.4245548266166823,0.38839000664400253,2025-05-20 22:47:50
23,0.844548651817116,0.626991565135895,0.3574106901437602,2025-05-20 22:47:50
24,0.8522860492379836,0.32989690721649484,0.3441468236709802,2025-05-20 22:47:50
25,0.8677608440797187,0.32989690721649484,0.3168009394842587,2025-05-20 22:47:50
26,0.8778429073856976,0.3345829428303655,0.295107465795475,2025-05-20 22:47:50
27,0.8862837045720985,0.5595126522961574,0.2752991851405258,2025-05-20 22:47:50
28,0.8977725674091442,0.32989690721649484,0.26188399807344215,2025-05-20 22:47:50
29,0.9003516998827668,0.7825679475164011,0.25043054310123575,2025-05-20 22:47:50
30,0.9033997655334115,0.5023430178069354,0.23343081963475276,2025-05-20 22:47:50
31,0.9069167643610786,0.41705716963448924,0.23121942576955767,2025-05-20 22:47:50
32,0.9207502930832356,0.380506091846298,0.20449078339064836,2025-05-20 22:47:50
33,0.9221570926143025,0.32989690721649484,0.2028607050452228,2025-05-20 22:47:50
34,0.9345838218053927,0.4386129334582943,0.1742947165215953,2025-05-20 22:47:50
35,0.92989449003517,0.5454545454545454,0.18916083174000742,2025-05-20 22:47:50
36,0.9352872215709261,0.6607310215557638,0.16871179541928716,2025-05-20 22:47:50
37,0.9420867526377491,0.3336457357075914,0.15784137179789026,2025-05-20 22:47:50
38,0.9369284876905041,0.4873477038425492,0.15977660472738497,2025-05-20 22:47:50
39,0.9467760844079719,0.32989690721649484,0.1416838589204608,2025-05-20 22:47:50
40,0.9460726846424384,0.6410496719775071,0.14576632327536185,2025-05-20 22:47:50
41,0.9545134818288394,0.32989690721649484,0.1283360728680083,2025-05-20 22:47:50
42,0.9502930832356389,0.32989690721649484,0.13187623255596626,2025-05-20 22:47:50
43,0.9549824150058617,0.32989690721649484,0.12969293458254708,2025-05-20 22:47:50
44,0.9502930832356389,0.5763823805060918,0.1380183922112937,2025-05-20 22:47:50
45,0.9584994138335288,0.32989690721649484,0.11326204788825764,2025-05-20 22:47:50
46,0.9629542790152403,0.32989690721649484,0.10584648624620634,2025-05-20 22:47:50
47,0.957092614302462,0.5323336457357076,0.11265735244308686,2025-05-20 22:47:50
48,0.9627198124267292,0.8078725398313027,0.09784244948628355,2025-05-20 22:47:50
49,0.9645955451348183,0.5876288659793815,0.0952611583396653,2025-05-20 22:47:50
50,0.9603751465416178,0.5229615745079662,0.10842482804421907,2025-05-20 22:47:50
51,0.965767878077374,0.6148078725398313,0.09838285122924809,2025-05-20 22:47:50
52,0.9699882766705744,0.33270852858481725,0.09403877741611852,2025-05-20 22:47:50
53,0.9713950762016412,0.4423617619493908,0.08082837112028193,2025-05-20 22:47:50
54,0.9718640093786636,0.7094657919400188,0.08339864223644361,2025-05-20 22:47:50
55,0.972801875732708,0.767572633552015,0.08023962446171023,2025-05-20 22:47:50
56,0.9723329425556858,0.7450796626054358,0.07875715357108454,2025-05-20 22:47:50
57,0.9756154747948418,0.6185567010309279,0.08042009068436726,2025-05-20 22:47:50
58,0.9774912075029308,0.33177132146204313,0.06331113584109405,2025-05-20 22:47:50
59,0.977725674091442,0.8903467666354264,0.06515461026537424,2025-05-20 22:47:50
60,0.9831184056271981,0.9175257731958762,0.05739106455763753,2025-05-20 22:47:50
61,0.9756154747948418,0.6494845360824743,0.06947381460336334,2025-05-20 22:47:50
62,0.9784290738569754,0.4723523898781631,0.06288457538737229,2025-05-20 22:47:50
63,0.9784290738569754,0.5454545454545454,0.059848237859890956,2025-05-20 22:47:50
64,0.9814771395076202,0.47703842549203374,0.05190959284108216,2025-05-20 22:47:50
65,0.9819460726846424,0.7338331771321462,0.05500271813752137,2025-05-20 22:47:50
66,0.9805392731535756,0.6138706654170571,0.049200186955006546,2025-05-20 22:47:50
